sat	hs.perc	hs.size	gpa
1000	65.95174	3.73	2.92
1000	73.31536	3.71	3.41
970	72.43902	4.1	2.73
1070	89.66667	6	2.54
950	91.578947	2.85	3.06
1140	84.3318	2.17	1.93
1060	82.69231	1.56	3.23
940	82.07171	2.51	2.54
960	61.0	1	2.22
890	81.90476	2.1	1.99
1120	53.65854	3.28	1.75
1150	60.0	.1	3.14
1270	60.0	.1	3.24
1100	60.0	.1	2
1150	50.0	.1	2.5
1090	47.33333	1.5	1.6
1220	50.0	.1	3.05
1070	50.0	.1	2.41
1030	97.058824	1.36	2.73
980	94.6875	3.2	2.93
930	85.23985	2.71	2.5
1030	79.87013	3.08	2.69
1100	67.64706	3.06	2.61
1100	90.967742	3.1	2.94
1070	94.382022	1.78	3.44
980	90.748899	2.27	3.12
1000	87.07865	1.78	3.46
1190	77.52809	1.78	3.64
1060	70.88123	2.61	2.57
1240	86.05442	2.94	3.43
950	66.98113	2.12	2.24
1300	45.59387	2.61	2.78
860	59.85402	2.74	2.13
1010	71.09375	2.56	2.69
1180	63.28125	2.56	3.29
1040	60.0	.1	2.31
1010	81.53846	1.95	2.31
1000	82.14286	1.96	1.88
1030	70.0	.1	2.47
1100	90.677966	2.36	2.66
1240	72.41379	.58	2.77
1110	58.33333	.48	3.77
1070	53.22581	1.86	1
1040	69.23077	1.95	2.02
1290	99.5670996	2.31	3.43
1010	84.41558	2.31	2.69
1080	84.31373	.51	3.7
1120	97.674419	3.44	3.68
1210	65.11628	3.44	1.97
990	76.5586	4.01	2.93
1130	41.81818	1.1	2.23
840	33.33334	.48	2.12
1050	92.909091	5.5	3.66
1050	57.09678	6.2	1.8
1000	78.72727	5.5	2.48
1020	93.952484	4.63	2.97
960	70.36364	5.5	1.7
890	41.27604	7.68	1.98
1320	99.6487119	8.54	4
1140	97.515528	1.61	3.37
1000	73.02632	1.52	1.84
1040	44.7205	1.61	2.15
850	14.52514	1.79	1.81
1050	96.5	6	3.56
1140	94.074074	2.7	2.07
1120	90.928725	4.63	2.23
1060	86.18421	1.52	3.11
1090	75.94554	6.61	2.72
1080	47.5	.4	2.11
1070	86.32812	5.12	2.75
1130	82.87671	5.84	3.16
1410	94.736842	3.61	3.69
1000	81.42494	3.93	2.45
1130	92.243767	3.61	3.72
1130	83.3795	3.61	2.02
1120	91.784702	3.53	3.13
1180	98.545455	2.75	2.76
1020	96.206897	5.8	2.87
810	89.33539	6.47	2.43
940	94.017094	2.34	3.06
880	84.11215	3.21	2.75
910	50.7772	3.86	2.46
1490	99.75	4	4
1040	91.954023	4.35	3.01
1220	78.62069	4.35	3.3
1140	97.484277	1.59	3.42
1170	84.13547	5.61	3.43
910	41.74067	5.63	.6
1290	96.353167	5.21	3.71
1340	99.1983968	4.99	3.38
1110	71.22093	3.44	2.62
1040	93.75	3.2	3.49
1070	70.27027	.37	2.53
1200	97.846154	3.25	3.77
950	86.47059	3.4	2.65
1110	50.0	.04	2.67
970	69.163	4.54	2.35
1090	90.934066	3.64	2.67
960	70.3504	3.71	2.05
980	40.0	.1	2.31
1070	83.14917	3.62	2.92
1040	94.488189	1.27	2.94
1170	72.97872	4.7	3.28
1010	75.1606	4.67	2.72
1110	88.38384	3.96	2.93
890	74.74747	3.96	2.2
950	88.46154	6.5	2.42
780	87.61468	6.54	2.85
1230	96.165192	3.39	2.16
1160	97.938144	1.94	3.55
1020	77.77778	2.52	2.46
1200	70.0	.1	2.26
1230	97.761194	2.68	3.47
1110	60.0	.1	2.2
1250	90.434783	1.15	2.34
980	52.17391	1.15	2.18
1100	53.19149	.94	3.1
880	54.33071	2.54	2
1050	97.468354	3.16	2.94
910	75.6	5	3.03
1140	92.087542	5.94	3.32
990	98.586572	5.66	3.14
1130	64.81482	5.94	2.76
1010	62.94118	6.8	1.29
1030	90.441176	5.44	3.11
1070	98.26087	4.6	2.12
900	94.533762	3.11	2.72
1030	92.650334	4.49	2.82
940	96.698113	2.12	3.11
1020	86.13636	4.4	2.46
980	95.305164	2.13	3.01
1060	88.04071	3.93	3.18
1160	95.037221	4.03	3.5
1210	94.252873	4.35	2.7
1050	87.2	2.5	2.76
1160	80.97166	4.94	2.88
850	84.9711	1.73	3.61
950	73.77049	.61	2.71
940	89.01869	4.28	2.43
1040	89.52618	4.01	3.2
1090	93.908629	3.94	3.02
1210	98.660714	4.48	4
1100	99.1935484	1.24	3.2
1180	47.97508	3.21	1.82
750	87.64228	6.15	1.41
1280	93.586006	6.86	3.76
940	40.0	.1	2.62
1010	84.81013	.79	1.93
990	59.1954	1.74	2.69
990	76.17729	3.61	1.5
1010	92.335766	2.74	3.16
1130	90.697675	2.15	3.11
970	92.957747	2.13	3.29
1050	95.16129	3.72	2.94
1080	80.0	.6	3.31
1050	87.05882	4.25	2.93
1000	98.947368	3.8	3.28
1270	96.983409	6.63	3.46
1160	54.05405	.37	2.27
930	65.83333	3.6	1.5
1010	85.75	4	2.31
1010	97.5	3.6	3.62
990	98.75	4	2.69
540	30.32929	5.77	1.91
1050	79.03226	4.96	2.53
1150	97.816594	4.58	3.62
1050	94.902913	4.12	2.9
990	78.89908	1.09	3.13
1050	88.52459	4.88	2.87
1170	78.62595	3.93	2.26
930	95.529801	6.04	3.48
1000	82.10291	4.47	2.44
1020	96.363636	3.3	3.17
1160	97.142857	3.5	3.08
1130	98.715203	4.67	3.38
900	98.055556	3.6	3.06
870	96.944444	3.6	2.75
970	87.38739	1.11	3.06
1090	76.5625	1.28	2.6
1040	93.333333	5.4	3.17
1070	86.02329	6.01	3.17
810	58.84615	5.2	2.36
1200	93.18542	6.31	3.21
1020	96.633663	5.05	3.59
1230	89.77273	4.4	2.84
1040	70.66667	7.5	2.98
830	62.9275	7.31	1.9
1230	98.8	2.5	3.65
1050	84.33735	.83	4
910	68.64865	3.7	2.36
1070	88.64865	3.7	3.52
1050	91.891891	3.7	3.33
1110	92.834891	3.21	3.5
1170	91.772152	7.9	2.72
890	78.57143	7	2.35
720	65.41177	4.25	2.26
1170	79.86111	1.44	3
1140	97.740113	3.54	2.86
1200	92.083333	4.8	2.55
1010	91.315137	4.03	2.38
1330	99.669967	3.03	4
920	93.39934	3.03	3.07
1180	93.548387	.31	2.41
1000	89.72125	5.74	3.42
1140	83.77953	6.35	2.86
1130	99.4845361	1.94	3.78
1010	73.08534	4.57	2.46
930	31.59722	2.88	1.88
1110	89.69072	2.91	2.37
850	56.42458	5.37	2.07
1050	95.907473	5.62	2.88
1080	73.15175	7.71	2.8
1240	97.04698	7.45	3.65
1060	69.85871	6.37	2.87
1160	84.14443	6.37	3.47
970	89.79592	6.37	2.83
1100	70.73825	7.45	2.41
1060	65.10067	7.45	3.85
790	96.5	2	2.46
880	75.77938	4.17	1.09
1000	69.81132	.53	3.28
990	81.81818	3.3	2.38
1040	76.9697	3.3	2.3
1040	94.174757	2.06	3.28
840	82.89086	3.39	3
1060	91.549295	2.84	3.01
950	61.29032	2.48	2.3
1030	92.33871	2.48	2.33
920	89.74359	3.51	3.41
1220	97.126437	1.74	3.76
750	60.0	.1	1.06
900	80.0	.1	3.2
800	91.015625	2.56	1.8
880	60.0	.1	2.35
870	80.0	.1	3.5
910	96.956522	2.3	3.29
880	32.35294	1.36	2.05
1100	20.34884	1.72	2.97
1180	42.94118	1.7	2.51
1210	70.0	.1	.55
1100	40.0	.05	2.06
1180	97.619048	2.94	3.29
1070	75.14451	3.46	2.33
1020	56.35838	3.46	2.22
1030	72.94118	2.55	2.87
1060	61.76471	3.4	2.85
1030	89.02077	3.37	3.27
1080	53.4413	2.47	2.71
1100	18.30986	.71	2.02
1080	68.96552	2.61	2.3
850	57.46606	2.21	2.56
1040	72.54902	2.04	2.64
1070	97.911227	3.83	3.47
850	95.774648	3.55	1.56
730	83.5249	2.61	2.29
1040	20.0	.4	2.72
1130	99.0338164	2.07	2.53
1200	98.75	2.4	3.91
1360	98.734177	2.37	3.78
700	57.14286	2.38	2.6
1120	84.21053	.38	3.11
700	59.78261	.92	2
960	91.379311	2.9	2.21
950	90.683229	1.61	3.32
750	68.37209	2.15	2.44
990	90.0	.1	3.52
950	64.07767	2.06	1.86
1130	90.769231	1.3	2.15
980	77.89474	1.9	2
800	84.21053	1.9	2
1280	97.5	2.4	3.38
1070	80.0	.1	2.4
1170	70.0	.1	3.47
970	60.0	.1	2.38
1130	97.5	2.4	3.62
860	79.62963	2.7	2.86
1060	80.0	.1	3.17
1090	90.0	.1	2.64
850	89.55224	1.34	2.07
1120	70.69767	2.15	2.27
960	72.68518	2.16	2.93
1270	99.6825397	3.15	3.76
1130	98.461538	3.25	3.15
1110	97.487437	1.99	3.11
830	80.91398	3.72	2.46
1150	76.07527	3.72	2.61
1210	94.137931	2.9	2.76
870	77.81457	3.02	2.22
1010	89.84375	1.28	2.9
990	93.75	1.28	2.67
1080	57.69231	2.34	2.28
1150	94.820717	2.51	3.53
1100	90.0	.1	2.86
940	80.0	.1	1.87
1360	99.6466431	2.83	3.98
820	80.0	.1	2.52
760	70.0	.1	1.07
680	85.71429	.91	2.04
880	75.67568	1.48	2.21
1170	80.0	.1	2.71
1220	70.0	.1	2.76
1020	90.0	.1	2.87
910	80.0	.1	2.5
1090	80.0	.1	3.12
990	70.0	.1	3.13
910	70.0	.1	2.86
1120	60.0	.1	2.11
1090	70.0	.1	1.8
1090	90.0	.1	3
880	60.0	.1	2.23
1060	80.0	.1	3.64
930	70.0	.1	3.28
730	90.0	.1	3.09
970	90.0	.1	3.31
900	60.0	.1	1.83
1120	90.0	.1	3.76
1000	66.54546	2.75	1.37
1130	60.72727	2.75	2.78
860	88.67924	2.65	3.46
830	46.90909	2.75	2.2
910	55.55556	2.61	2.25
1050	80.84291	2.61	2.65
930	57.45454	2.75	2.06
1050	85.34483	2.32	3.34
1240	98.760331	2.42	3.86
1230	94.174757	1.03	2.97
830	38.94967	4.57	1.92
950	64.85437	5.15	1.93
1200	82.33333	3	2.33
1180	93.411765	4.25	3.58
1200	94.594594	.37	3.51
1010	74.73118	1.86	1.81
1160	91.457287	1.99	3.42
1070	76.92308	.13	2.66
820	83.67347	.98	2.47
1000	52.77778	.36	2.42
1120	83.53658	1.64	2.73
740	86.88525	.61	2.07
670	23.68421	.76	1.89
980	85.11111	4.5	2.31
1130	75.0	.12	2.82
1240	95.196507	2.29	3.45
720	30.0	.1	2.23
690	59.81308	2.14	1.72
1210	90.0	.1	3.09
1120	93.939394	3.3	2.33
1020	93.478261	1.84	2.18
1040	87.1875	3.2	2.8
1080	80.42896	3.73	3.14
1080	87.13137	3.73	3.25
1130	99.4236311	3.47	2.99
1120	77.21894	3.38	2.68
1120	78.99408	3.38	3.17
1190	99.6282528	2.69	3.78
1010	63.23529	.68	1.9
1210	71.40288	5.56	2.71
1020	33.57246	6.97	2
1060	89.95696	6.97	3.2
790	68.34356	8.15	2.18
1220	99.5695839	6.97	3.93
850	63.12769	6.97	1.86
900	84.79197	6.97	2.51
1020	66.06557	6.1	2.5
1090	85.80509	4.72	2.86
1130	79.96743	6.14	3.42
1130	85.13011	2.69	2.76
910	81.04089	2.69	3.28
1040	88.57143	2.1	2.5
1160	99.5951417	4.94	3.73
1030	76.45788	4.63	2.5
1040	85.2657	4.14	2.39
1070	85.52916	4.63	2.68
1010	85.31318	4.63	2.88
750	78.66667	2.25	2.75
950	75.0	.44	2.68
750	56.79612	4.12	1.88
1060	81.6092	.87	3.43
990	70.10526	4.75	.25
1360	96.836983	4.11	3.95
1080	91.450777	3.86	1.82
890	63.98964	3.86	2.46
1180	90.449438	3.56	2.1
1120	85.40146	1.37	2.23
990	80.50847	1.18	2.96
1100	80.0	.1	2.07
1150	97.25	4	3.41
970	60.0	.1	1.98
950	84.57143	3.5	2.71
960	40.0	.1	2.52
1220	99.25	4	3.22
930	74.73684	.95	2.13
1350	85.71429	.91	3.64
1280	95.604395	.91	3.48
1020	61.33333	.75	2.66
940	99.009901	1.01	2.58
1160	94.219653	5.19	3.13
1020	91.333333	4.5	3.24
850	74.4186	5.16	2
1260	60.75	4	2.5
890	37.7907	5.16	1.14
940	73.98844	5.19	1.63
1160	85.0	4	3.06
1040	56.74419	4.3	2.26
1010	86.14319	4.33	2.88
1070	93.063584	5.19	2.87
1160	82.6087	2.53	3.12
1040	98.507463	1.34	2.75
1060	80.0	.1	3.17
900	50.0	.1	2.73
910	60.0	.1	1.64
1130	80.0	.1	3.41
1000	88.23529	1.02	2.76
890	60.0	.1	2.42
1030	94.117647	2.04	1.69
1190	90.0	.1	3.26
1150	98.0	4.5	3.16
1290	99.4666666	3.75	3.53
1180	95.774648	1.42	3.48
1220	84.86998	4.23	2.06
1100	92.857143	.42	2.17
1030	83.33333	1.5	2.54
960	90.625	.32	3.13
1080	81.51659	2.11	3.43
980	32.39436	5.68	1.97
880	87.17949	6.24	1.6
1090	91.747573	4.12	2.8
800	52.62346	6.48	2.08
960	82.08661	5.08	1.8
1100	50.78236	7.03	2.86
870	72.44094	1.27	2.71
960	83.56164	5.11	2.12
870	88.10573	2.27	2.44
1140	59.14286	3.5	2.46
1170	71.72414	4.35	2.83
1140	92.145594	5.22	3
1210	90.566038	.53	3.57
1020	86.0	1.5	3.88
1050	72.39915	4.71	2.3
1130	86.6242	4.71	2.81
1160	87.43961	4.14	2.6
1070	82.07071	3.96	3.2
1020	63.76237	5.05	2.39
940	92.982456	3.42	2.47
950	76.73797	3.74	1.97
910	67.88321	1.37	2.52
1240	95.631068	4.12	2.96
970	80.71749	2.23	3.2
1140	51.46199	1.71	2.53
940	84.08408	3.33	1.64
940	86.16188	3.83	2.79
790	85.81979	6.77	2.71
1190	93.465909	3.52	3.34
1010	96.240602	2.66	2.97
1020	95.064378	4.66	2.95
1050	86.41975	1.62	2.6
1270	95.022624	2.21	2.87
860	74.33628	1.13	2.76
1140	92.070485	4.54	3.52
1310	98.076923	.52	3.48
940	79.63801	2.21	2.41
1110	74.00794	5.04	2.74
970	81.29676	4.01	2.9
1140	94.388778	4.99	3.18
970	72.53521	1.42	2.28
840	59.85915	1.42	2.4
1150	74.46808	.47	3.17
1020	78.71795	3.9	2.11
1210	80.41776	3.83	3.35
900	85.8209	2.68	2.74
850	84.76562	2.56	2.6
1320	80.0	.1	2.87
1010	74.11765	3.4	2.4
920	61.03448	2.9	2.11
1330	97.247706	2.18	4
880	84.61539	.26	2.78
1160	87.09677	.93	2.94
1090	96.744186	2.15	2.7
1030	60.0	.1	1.41
1150	86.17021	.94	2.51
1020	79.72973	1.48	3.18
1030	43.33333	1.2	1.97
1380	99.1869919	1.23	3.8
1240	98.477157	1.97	3.44
1320	96.168582	2.61	4
990	75.84416	3.85	2.5
940	91.516709	3.89	2.72
980	66.35514	3.21	2.53
1120	90.342679	3.21	3.29
970	71.2	1.25	3.02
1010	62.4	1.25	2.78
1120	30.4	1.25	2.06
1110	80.0	.6	2.72
1430	95.087719	2.85	3.55
900	96.0	2.5	2
1230	85.42373	2.95	2.84
1240	62.30769	1.3	2.36
1090	98.125	3.2	3.88
820	60.0	.05	2.31
1000	62.94821	2.51	2.25
1050	50.0	.1	3.21
1090	75.84746	2.36	2.59
1100	50.22222	2.25	3.2
860	84.73282	6.55	2.53
1320	60.04673	4.28	2.67
1190	60.0	.1	2.44
1010	60.0	.1	2.64
1090	95.348837	1.72	2.42
940	71.11111	1.8	3
990	96.96	6.25	2.95
1180	95.833333	6	3.25
1210	75.34247	3.65	2.68
1250	83.38279	3.37	2.73
950	91.158537	3.28	1.29
1010	79.81651	3.27	2.8
1060	82.69231	2.6	2
1000	73.84615	2.6	1.64
1030	94.285714	1.05	3.95
810	91.756272	2.79	2.44
1160	97.849462	2.79	3.76
980	40.90909	.22	2.41
1000	74.63768	2.76	2.76
1170	96.031746	2.52	3.66
1190	92.45283	2.65	3.21
1180	80.84416	3.08	3.33
1190	82.37548	2.61	2.71
780	77.91165	2.49	2.82
1010	91.472868	1.29	3.41
850	62.2905	3.58	1.77
1240	99.7206704	3.58	3.61
1060	50.16722	2.99	1.77
1180	60.5985	4.01	2.55
830	65.90331	3.93	2.7
1070	71.15385	4.16	2.31
1090	46.38655	5.95	2.02
1000	68.34532	1.39	2.92
860	95.833333	.48	2.75
1000	88.75502	2.49	2.18
1150	63.19703	2.69	2.36
1150	84.47653	2.77	3.53
1230	96.938776	1.96	3.87
1120	93.154762	3.36	2.57
870	70.99447	3.62	1.36
1190	74.24242	1.32	2.11
1060	56.06061	1.32	3.5
1050	97.643979	3.82	2.58
930	93.895349	3.44	3.4
1030	97.631579	3.8	2.79
970	80.0	.1	2.7
1150	85.56701	4.85	2.88
1020	65.20833	4.8	2.42
1170	95.463918	4.85	3.42
1000	68.95833	4.8	3.06
1140	30.0	.1	3.29
1070	93.75	3.04	2.56
940	66.66667	4.2	1.97
1040	80.0	4.2	2.48
1100	88.69863	2.92	2.44
1070	80.43478	.92	2.74
1150	74.02827	5.66	2.83
1030	45.54974	5.73	2.66
1410	91.428572	4.2	4
1040	52.75591	2.54	2.85
900	70.51282	2.34	2.5
1000	67.22973	2.96	2.99
1140	68.75	3.2	2.8
1130	60.20408	3.92	2.65
1130	65.47085	4.46	2.82
1220	39.69631	4.61	2.81
1110	77.38359	4.51	3.37
1170	96.785714	2.8	2.72
1270	82.93736	4.63	3.46
850	71.98276	4.64	3.26
1040	73.7069	4.64	2.94
1140	56.79012	.81	2.75
980	90.909091	2.2	2.26
1220	90.651558	3.53	4
1150	93.767705	3.53	3.4
890	81.81818	4.29	2.9
1030	66.10979	4.19	2.65
1180	86.22328	4.21	3.21
1030	85.98575	4.21	3.12
940	68.76457	4.29	2.47
1120	38.66667	.75	3.07
970	20.0	.1	1.76
1090	84.10405	3.46	3.44
940	97.777778	2.7	3
980	76.22378	2.86	2.6
1120	74.31373	5.1	3.58
1110	65.6746	5.04	3
1080	42.22689	4.76	2.07
1130	79.96032	5.04	3.82
1050	81.48148	2.7	2
1130	41.89944	1.79	2.67
1200	85.62874	1.67	2.64
1110	78.26087	3.22	2.53
800	60.0	.1	2.26
1070	95.604395	1.82	3.02
930	43.85965	2.28	2.45
1170	94.298245	2.28	1.93
980	85.04673	2.14	2.53
1200	90.654205	2.14	2.11
1170	97.560976	1.64	3.4
900	91.860465	1.72	3.2
1280	88.49557	2.26	3
1240	43.20988	1.62	2.95
1190	79.83871	1.24	2.17
1000	46.06061	3.3	2.57
940	70.0	.1	2.75
980	60.32389	2.47	2.54
1200	80.0	.85	2.95
1060	40.0	.05	1.9
1070	80.33241	3.61	2.81
990	91.588785	3.21	3.3
1060	81.21547	1.81	2.15
1060	80.07663	2.61	3.25
1270	79.91632	2.39	2.89
1040	93.719807	2.07	3.73
1320	94.974874	1.99	3.64
1060	77.61905	2.1	1.95
1240	60.0	.1	2.1
1120	81.03448	1.74	3
920	71.56398	2.11	2.47
1230	90.44586	3.14	2.71
1330	91.036414	3.57	3.66
1130	50.20243	2.47	2.08
1020	72.55814	2.15	2.16
1060	84.375	2.88	1.8
1050	73.75887	2.82	2.88
1080	67.94258	2.09	2.87
1010	77.88461	3.12	2.61
920	57.49386	4.07	3.28
1030	85.55556	1.8	2.12
850	96.285714	3.5	3.83
1260	88.9313	5.24	4
1030	89.47368	.76	3.02
830	51.70068	1.47	3.05
1430	99.3442623	3.05	3.76
1210	97.802198	5.46	4
1120	63.48884	4.93	2.04
940	76.67343	4.93	3.08
1350	20.0	.05	3.4
1060	91.053678	5.03	3.75
820	91.904762	2.1	2.71
1100	65.25424	1.18	2.54
1190	88.78505	1.07	2.23
1070	80.84291	2.61	3.21
1130	81.78218	5.05	3.11
1060	89.91935	4.96	3.41
900	83.91867	5.41	2.82
1230	25.0	.04	2.77
1290	86.75497	1.51	3.3
1010	79.8627	4.37	1.93
1010	74.39024	.82	1.2
840	79.60784	2.55	2.24
1320	90.968586	7.64	3.46
1010	88.28829	3.33	1.88
1020	74.42748	2.62	3.48
1110	56.10687	2.62	2.6
1040	69.46565	2.62	2.85
1020	56.84647	2.41	1.58
1030	88.25397	3.15	2.88
1220	48.0826	3.39	2.31
1040	80.82902	1.93	2.43
1060	58.85167	2.09	2.06
1060	91.38756	2.09	3.63
990	47.36842	2.09	2.2
1050	74.09326	1.93	2.64
960	82.6087	2.07	3.15
980	58.9372	2.07	2.23
940	93.522267	2.47	2.9
980	72.5	2.8	1.21
1150	95.406361	2.83	1.76
1000	57.86164	1.59	2.43
1070	45.91195	1.59	2.48
1180	71.59763	1.69	3.46
910	50.0	.1	2.46
1080	83.94161	1.37	2.83
1050	90.410959	.73	3.52
640	71.23288	2.19	1.73
1240	67.0	1	4
1280	79.71014	1.38	2.08
820	62.09678	1.24	2.23
990	58.51064	.94	2.76
1120	67.35294	3.4	2.29
1060	56.76471	3.4	3.25
1060	62.5	3.28	2.07
1150	81.47059	3.4	3
1340	73.33333	2.7	2.56
1070	63.33333	2.7	2.26
970	88.63636	1.76	2.17
1260	79.5107	3.27	2.7
1080	89.14286	3.5	3.11
1190	86.33094	1.39	2.41
1040	92.307693	3.12	2.69
800	73.52587	8.31	2.2
1040	62.11031	4.17	2.46
1150	60.87751	5.47	2.52
1080	98.823529	.85	2.58
1290	98.75	1.6	3.48
980	55.79268	3.28	2.24
470	60.17316	2.31	1.89
1090	84.58333	2.4	2.29
990	79.17981	3.17	2.91
1040	69.375	1.6	3.33
1190	84.375	1.6	3.14
1100	77.04918	1.83	2.29
1100	74.82517	1.43	3.02
990	53.09734	1.13	2.55
1160	84.0	1	3.37
960	69.3038	3.16	2.69
930	88.82834	3.67	2.88
1050	45.80645	1.55	2.36
1040	58.63874	1.91	2.63
1000	70.8	2.5	2.62
1000	88.23529	1.36	2.55
1080	72.77778	1.8	2.57
1080	60.55556	1.8	2.4
1020	83.21428	2.8	3.22
1060	86.58892	3.43	2.29
970	65.15837	2.21	2.25
1030	34.2723	2.13	3.11
1080	86.71329	2.86	1.62
1010	92.056075	2.14	2.77
1030	40.37559	2.13	2.47
1140	63.0137	2.19	2.26
1170	95.945946	2.22	2.6
1040	84.36214	2.43	2.23
1080	72.63581	4.97	1.97
1100	55.00945	5.29	2.6
940	73.0	1	2.87
1020	64.64647	.99	2.36
1080	76.0	1	2.48
1200	83.57488	4.14	2.3
1160	78.16764	5.13	2.33
1060	88.03738	5.35	2.94
970	82.30453	4.86	3.23
1050	85.83333	2.4	3.39
1130	57.60171	4.67	3.06
1440	97.44186	4.3	3.8
850	60.46511	4.3	1.9
980	82.80872	4.13	2.8
950	76.75545	4.13	2.47
1050	95.405406	3.7	2.93
1100	42.96875	2.56	1.83
1100	71.36752	2.34	2.47
1120	60.44776	2.68	2.15
1190	21.55173	2.32	2.02
920	66.41791	2.68	2.53
1040	60.46511	2.58	2.21
1110	76.5625	4.48	2.91
1110	81.45363	3.99	2.56
810	59.56938	4.18	1.8
1030	72.41379	1.45	2.06
1030	78.59327	3.27	2.35
1070	75.0	1.52	2.2
1280	75.4491	1.67	3.04
1180	94.270833	1.92	3.14
980	69.89796	1.96	2.54
1080	75.26882	1.86	2.68
1290	94.594594	2.22	4
1050	64.51613	3.1	2
1120	78.46154	2.6	2.87
1040	97.530864	3.24	3.66
1200	92.23301	3.09	1.6
1100	99.3993994	3.33	3.97
1140	78.5124	2.42	3.17
1040	65.02242	2.23	1.87
1110	72.72727	3.08	3.23
990	87.80488	2.05	3.27
1080	58.29146	1.99	2.5
1330	96.774194	.31	3.94
1150	74.72528	.91	2.6
1130	75.0	1.28	2.38
840	73.02158	2.78	2.73
1000	92.703863	2.33	2.81
970	81.3278	2.41	3.15
1060	74.90637	2.67	2.95
1180	94.520548	2.92	3.5
1080	68.11024	2.54	2.44
1210	89.71722	3.89	3.33
1060	75.91241	4.11	3.11
1120	47.96748	3.69	2.87
1130	76.64234	4.11	3.58
1110	74.54545	2.2	2.52
1020	67.01847	3.79	2.46
960	67.56757	2.59	2.62
990	51.33929	2.24	2.82
890	77.27273	1.32	3.26
960	60.0	2.1	2.65
1180	60.98485	2.64	2.76
970	87.15953	2.57	3.14
